head_length,skull_width,total_length,tail_length,foot_length,earconch_length,eye_distance,chest_girth,belly_girth,site_1,site_2,site_3,site_4,site_5,site_6,site_7,pop_Vic,pop_other,sex_f,sex_m
-1.0327524,-0.9453762,-1.2014619,0.49442664,-1.0147558,-0.80850565,-2.077969,-1.4695997,-0.53819656,0,0,0,0,0,0,1,0,1,0,1
-0.6578614,-0.786889,-0.5044572,-0.9705412,0.4847413,0.6804318,-0.78213084,-1.9625472,-1.5883362,1,0,0,0,0,0,0,1,0,1,0
-0.60018593,-0.3431248,-1.4337968,-1.4588637,0.7615715,1.4879911,-0.4118914,0.009242766,-0.3631733,0,1,0,0,0,0,0,1,0,0,1
-1.1769412,-1.5793251,-0.969127,0.49442664,-1.5453472,-0.55614334,-0.31933153,-0.48370472,0.5119431,0,0,0,0,0,1,0,0,1,1,0
-0.34064606,-0.31142738,-0.27212226,-1.2147025,1.1076094,0.83184916,-0.59701115,0.50219023,-0.18815003,1,0,0,0,0,0,0,1,0,0,1
-2.1574252,-0.91367877,-2.3631365,-2.435509,-1.2685169,0.7813767,-1.1523703,-0.7301785,0.16189654,0,1,0,0,0,0,0,1,0,0,1
-0.10994396,-0.05784783,0.42488247,1.9593945,-0.85327154,-0.42996222,2.5500243,-0.48370472,0.16189654,0,0,0,0,0,1,0,0,1,0,1
-0.28297055,0.32252148,0.5410499,0.25026533,0.6231564,1.3365737,-0.59701115,0.2557165,-0.18815003,1,0,0,0,0,0,0,1,0,1,0
-0.94623905,-0.31142738,-1.3176293,-0.23805727,-0.50723374,-0.3290173,-0.22677167,-1.9625472,-1.9383829,0,0,0,0,0,0,1,0,1,0,1
0.61100006,-0.43821713,1.1218872,-0.7263799,0.80770993,0.7309042,0.23602766,0.50219023,0.16189654,1,0,0,0,0,0,0,1,0,1,0
-0.34064606,-0.12124272,0.30871502,0.25026533,-0.85327154,-0.6823245,-0.13421181,0.009242766,-0.53819656,0,0,0,0,0,0,1,0,1,0,1
0.380298,-0.31142738,0.30871502,0.49442664,-0.53030294,-1.2627578,2.1797848,0.009242766,-0.88824314,0,0,0,0,1,0,0,0,1,0,1
0.0054070805,-0.31142738,0.19254756,-0.9705412,1.545924,0.9327941,-0.9672506,-1.4695997,-0.18815003,1,0,0,0,0,0,0,1,0,1,0
1.6491596,1.1783525,1.354222,2.2035558,0.80770993,-0.3290173,-0.041651938,-0.48370472,1.2120363,0,0,0,0,0,0,1,0,1,0,1
0.09192037,-0.69179666,0.7733848,-0.7263799,1.1537477,1.3870462,-0.78213084,1.4880852,-0.18815003,1,0,0,0,0,0,0,1,0,1,0
0.8128644,0.82968056,-0.5044572,-0.48221856,-0.9686175,-1.0608679,2.1797848,0.50219023,2.0871527,0,0,1,0,0,0,0,0,1,1,0
0.6686756,0.76628566,1.354222,1.9593945,-0.23040351,-0.7075607,-0.5044513,1.9810327,2.2621758,0,0,0,1,0,0,0,0,1,1,0
0.14959589,0.7345882,0.19254756,-0.9705412,1.4075087,0.98326653,-0.13421181,-0.7301785,1.2120363,0,1,0,0,0,0,0,1,0,0,1
0.5533246,3.3971734,0.5410499,-0.23805727,1.1537477,1.2861012,-0.31933153,0.99513775,-0.53819656,1,0,0,0,0,0,0,1,0,1,0
-0.94623905,-0.2480325,1.1218872,1.7152331,-0.5995105,-1.1618128,-0.5044513,0.009242766,-0.3631733,0,0,0,0,0,1,0,0,1,0,1
0.46681127,0.29082403,-0.5044572,-0.7263799,0.692364,1.8665345,1.2541862,0.50219023,1.0370129,0,1,0,0,0,0,0,1,0,0,1
0.5821623,0.19573171,0.8895523,0.0061040325,1.0384018,1.4627548,-0.5044513,0.99513775,0.5119431,1,0,0,0,0,0,0,1,0,1,0
-0.7732125,-0.69179666,0.42488247,0.25026533,-0.50723374,-0.6570883,-0.041651938,-0.9766522,0.16189654,0,0,1,0,0,0,0,0,1,0,1
0.23610917,-0.2480325,-0.7367921,-0.48221856,-1.2454478,-1.3132302,1.0690664,-0.9766522,0.8619897,0,0,0,0,0,1,0,0,1,0,1
0.2937847,-0.05784783,-0.039787352,-1.2147025,1.1537477,1.2356288,0.23602766,0.009242766,-0.88824314,1,0,0,0,0,0,0,1,0,0,1
0.5821623,-0.21633504,0.42488247,0.49442664,1.2921629,1.0842115,0.42114738,0.009242766,1.2120363,1,0,0,0,0,0,0,1,0,1,0
0.12075812,3.6824503,-0.7367921,-0.9705412,-0.5995105,-0.959923,-0.5044513,0.74866396,-0.18815003,0,0,0,0,0,0,1,0,1,0,1
0.92821544,0.6394959,0.6572174,-0.48221856,1.2460245,2.043188,-0.041651938,0.99513775,1.9121294,1,0,0,0,0,0,0,1,0,0,1
-0.6866992,-0.37482226,-0.27212226,-0.23805727,-1.153171,-0.9851592,0.6062671,-0.23723097,0.5119431,0,0,0,0,1,0,0,0,1,1,0
